SYMBOL_CODE,TRADE_DATE,TRADE_VOLUME,TRADE_VALUE,TRADE_COUNT,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE
EGS65571C019,12/3/2017 0:00,1071688,11122449.71,308,10.4,10.5,10.27,10.38
EGS65571C019,12/4/2017 0:00,1611520,16493894.44,528,10.4,10.45,10.15,10.23
EGS65571C019,12/5/2017 0:00,886669,9014477.21,300,10.2,10.27,10.11,10.17
EGS65571C019,12/6/2017 0:00,1677429,17026535.61,553,10.11,10.25,10.08,10.15
EGS65571C019,12/7/2017 0:00,630543,6376765.26,218,10.07,10.2,10.04,10.11
EGS65571C019,12/10/2017 0:00,518055,5317369.34,231,10.2,10.36,10.2,10.26
EGS65571C019,12/11/2017 0:00,1267648,13064567.1,376,10.27,10.37,10.25,10.31
EGS65571C019,12/12/2017 0:00,6058856,63704798.48,1899,10.38,10.67,10.3,10.51
EGS65571C019,12/13/2017 0:00,2484221,26275764.45,742,10.57,10.7,10.47,10.58
EGS65571C019,12/14/2017 0:00,4918542,52406308.85,1126,10.58,10.78,10.47,10.65
EGS65571C019,12/17/2017 0:00,33567891,368484494.8,1457,10.73,11.07,10.72,10.98
EGS65571C019,12/18/2017 0:00,2618008,27878525.71,915,10.81,10.87,10.58,10.65
EGS65571C019,12/19/2017 0:00,1628183,17422177.63,582,10.59,10.84,10.57,10.7
EGS65571C019,12/20/2017 0:00,1254999,13383731.99,412,10.56,10.89,10.49,10.66
EGS65571C019,12/21/2017 0:00,1843784,19748052.62,394,10.64,10.8,10.57,10.71
EGS65571C019,12/24/2017 0:00,1738758,18804404.33,429,10.69,10.88,10.69,10.81
EGS65571C019,12/25/2017 0:00,3298857,36039349.6,819,10.79,11.02,10.77,10.92
EGS65571C019,12/26/2017 0:00,464501,5049787.47,160,10.89,10.98,10.8,10.87
EGS65571C019,12/27/2017 0:00,3037790,32747169.53,344,10.85,10.96,10.68,10.78
EGS65571C019,12/28/2017 0:00,666757,7145359.5,269,10.75,10.82,10.64,10.72
EGS65571C019,12/31/2017 0:00,1328205,14053645.1,295,10.7,10.73,10.49,10.58
