SYMBOL_CODE,TRADE_DATE,TRADE_VOLUME,TRADE_VALUE,TRADE_COUNT,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE
EGS691S1C011,1/2/2013 0:00,4819957,22287042.43,927,4.48,4.72,4.46,4.62
EGS691S1C011,1/3/2013 0:00,3627545,17134786.61,945,4.65,4.76,4.63,4.72
EGS691S1C011,1/6/2013 0:00,2607806,12245969.99,607,4.73,4.76,4.64,4.7
EGS691S1C011,1/8/2013 0:00,5684753,26984291.44,866,4.69,4.84,4.6,4.75
EGS691S1C011,1/9/2013 0:00,2980833,14233038.27,648,4.81,4.85,4.73,4.77
EGS691S1C011,1/10/2013 0:00,3306056,15382976.49,812,4.75,4.76,4.6,4.65
EGS691S1C011,1/13/2013 0:00,2224133,10234502.48,441,4.6,4.68,4.56,4.6
EGS691S1C011,1/14/2013 0:00,2104500,9619356.3,643,4.59,4.64,4.51,4.57
EGS691S1C011,1/15/2013 0:00,5940152,25918552.52,716,4.5,4.5,4.29,4.36
EGS691S1C011,1/16/2013 0:00,2120688,9471950.63,613,4.36,4.57,4.36,4.47
EGS691S1C011,1/17/2013 0:00,2165334,9347989.71,662,4.45,4.48,4.22,4.32
EGS691S1C011,1/20/2013 0:00,1494542,6312298.02,494,4.3,4.38,4.14,4.22
EGS691S1C011,1/21/2013 0:00,2087722,8548189.69,576,4.14,4.17,4.03,4.09
EGS691S1C011,1/22/2013 0:00,4606237,19304115.65,802,4.1,4.24,4.1,4.19
EGS691S1C011,1/23/2013 0:00,3266131,13898754.12,681,4.2,4.32,4.17,4.26
EGS691S1C011,1/27/2013 0:00,2664121,11213564.75,543,4.16,4.32,4.03,4.21
EGS691S1C011,1/28/2013 0:00,3044182,12516955.6,745,4.11,4.25,4.05,4.11
EGS691S1C011,1/29/2013 0:00,14398380,57878010.84,901,4.11,4.19,3.97,4.02
EGS691S1C011,1/30/2013 0:00,1368990,5693071.35,500,4.18,4.2,4.1,4.16
EGS691S1C011,1/31/2013 0:00,4765686,20153548.94,1018,4.14,4.34,4.13,4.23
EGS691S1C011,2/3/2013 0:00,2256257,9842554.63,646,4.26,4.41,4.26,4.36
EGS691S1C011,2/4/2013 0:00,2304748,10163809.25,458,4.36,4.45,4.34,4.41
EGS691S1C011,2/5/2013 0:00,1766168,7788021.63,424,4.45,4.46,4.35,4.41
EGS691S1C011,2/6/2013 0:00,2825565,12126636.77,649,4.35,4.36,4.25,4.29
EGS691S1C011,2/7/2013 0:00,2021466,8645799.81,471,4.26,4.32,4.21,4.28
EGS691S1C011,2/10/2013 0:00,1595798,6858324.93,372,4.3,4.37,4.22,4.3
EGS691S1C011,2/11/2013 0:00,2075893,8759299.19,521,4.25,4.28,4.16,4.22
EGS691S1C011,2/12/2013 0:00,3581469,15354379.07,743,4.25,4.32,4.25,4.29
EGS691S1C011,2/13/2013 0:00,3902607,16496159.12,894,4.32,4.32,4.16,4.23
EGS691S1C011,2/14/2013 0:00,2036306,8637850.69,602,4.18,4.28,4.18,4.24
EGS691S1C011,2/17/2013 0:00,1994083,8494360.12,422,4.24,4.31,4.21,4.26
EGS691S1C011,2/18/2013 0:00,1718591,7289765.3,409,4.25,4.3,4.21,4.24
EGS691S1C011,2/19/2013 0:00,2532874,10511565.93,646,4.21,4.24,4.1,4.15
EGS691S1C011,2/20/2013 0:00,1853505,7685489.95,576,4.15,4.19,4.11,4.15
EGS691S1C011,2/21/2013 0:00,2447313,10155157.28,702,4.15,4.18,4.11,4.15
EGS691S1C011,2/24/2013 0:00,885372,3635404.14,306,4.15,4.18,4.05,4.11
EGS691S1C011,2/25/2013 0:00,2256991,9183747.7,507,4.1,4.12,4.04,4.07
EGS691S1C011,2/26/2013 0:00,1297405,5315851.1,702,4.09,4.12,4.07,4.1
EGS691S1C011,2/27/2013 0:00,1590464,6438914.03,505,4.1,4.1,4.02,4.05
EGS691S1C011,2/28/2013 0:00,6266197,25583914.53,797,4.01,4.11,4.01,4.08
EGS691S1C011,3/3/2013 0:00,985723,4006437.2,290,4.08,4.14,4.04,4.06
EGS691S1C011,3/4/2013 0:00,4504355,17732895.82,942,4.05,4.05,3.84,3.94
EGS691S1C011,3/5/2013 0:00,3017526,11885623.42,554,3.86,3.99,3.86,3.94
EGS691S1C011,3/6/2013 0:00,8248366,32327239.71,452,3.91,4,3.86,3.92
EGS691S1C011,3/7/2013 0:00,2175477,8684205.15,368,3.96,4.04,3.95,3.99
EGS691S1C011,3/10/2013 0:00,1518773,6150972,420,4,4.08,3.99,4.05
EGS691S1C011,3/11/2013 0:00,1841216,7563385.04,367,4.08,4.16,4.06,4.11
EGS691S1C011,3/12/2013 0:00,3993906,16569325.32,860,4.09,4.19,4.09,4.15
EGS691S1C011,3/13/2013 0:00,3645000,14709683.43,713,4.1,4.11,3.98,4.04
EGS691S1C011,3/14/2013 0:00,7830493,30799718.27,1060,4.02,4.02,3.89,3.93
EGS691S1C011,3/17/2013 0:00,1803784,7140704.61,376,4.02,4.02,3.92,3.96
EGS691S1C011,3/18/2013 0:00,2709149,10531991.67,544,3.94,3.94,3.86,3.89
EGS691S1C011,3/19/2013 0:00,2018856,7818852.16,643,3.92,3.97,3.82,3.87
EGS691S1C011,3/20/2013 0:00,2549974,9637122.01,622,3.82,3.85,3.71,3.78
EGS691S1C011,3/21/2013 0:00,5171523,20056413.22,731,3.98,3.98,3.83,3.88
EGS691S1C011,3/24/2013 0:00,1253967,4862192.88,327,3.92,3.92,3.82,3.88
EGS691S1C011,3/25/2013 0:00,1889847,7282230.15,380,3.88,3.9,3.81,3.85
EGS691S1C011,3/26/2013 0:00,3239749,12206362.11,635,3.82,3.84,3.73,3.77
EGS691S1C011,3/27/2013 0:00,1264593,4780315.04,335,3.76,3.81,3.74,3.78
EGS691S1C011,3/28/2013 0:00,1622774,6119995.81,485,3.79,3.81,3.71,3.77
EGS691S1C011,3/31/2013 0:00,1045099,3841527.86,313,3.75,3.77,3.63,3.68
EGS691S1C011,4/1/2013 0:00,1925041,7085230.71,396,3.69,3.74,3.65,3.68
EGS691S1C011,4/2/2013 0:00,1553631,5758545.29,498,3.71,3.75,3.69,3.71
EGS691S1C011,4/3/2013 0:00,2341039,8603434.36,369,3.7,3.7,3.66,3.68
EGS691S1C011,4/4/2013 0:00,1730769,6462076.5,341,3.68,3.79,3.68,3.73
EGS691S1C011,4/7/2013 0:00,760898,2836693.24,207,3.73,3.74,3.69,3.73
EGS691S1C011,4/8/2013 0:00,1343987,5040780.34,268,3.72,3.78,3.71,3.75
EGS691S1C011,4/9/2013 0:00,2847751,10855105.61,447,3.76,3.84,3.76,3.81
EGS691S1C011,4/10/2013 0:00,2592790,10086221.05,510,3.78,3.96,3.78,3.89
EGS691S1C011,4/11/2013 0:00,6023030,24557378.13,1203,3.94,4.15,3.94,4.08
EGS691S1C011,4/14/2013 0:00,3349967,14001957.16,671,4.13,4.24,4.1,4.18
EGS691S1C011,4/15/2013 0:00,2582370,10712053.86,599,4.2,4.2,4.1,4.15
EGS691S1C011,4/16/2013 0:00,949839,3945195.81,234,4.19,4.22,4.1,4.15
EGS691S1C011,4/17/2013 0:00,2672405,10930048.65,533,4.15,4.15,4.04,4.09
EGS691S1C011,4/18/2013 0:00,789467,3246989.53,325,4.09,4.16,4.07,4.11
EGS691S1C011,4/21/2013 0:00,1207566,5002511.23,332,4.15,4.22,4.08,4.14
EGS691S1C011,4/22/2013 0:00,1263202,5172099.91,289,4.08,4.14,4.06,4.09
